account_id,industry,region,pipeline_stage,deal_size,days_in_stage,num_meetings,email_open_rate,champion_identified,competitor_present,product_fit_score,account_tenure_yrs,prev_purchases,exec_sponsor,nps_score,days_since_contact,converted,created_at
ACC-00001,Retail,APAC,Qualification,741900.0,17,0,0.331,0,0,0.446,2.6,2,0,10,16,0,2026-07-19 10:10:54.743919+00:00
ACC-00002,Logistics,APAC,Qualification,98500.0,70,1,0.269,0,0,0.491,0.1,3,1,1,12,1,2026-07-19 10:10:54.743919+00:00
ACC-00003,Technology,India,Prospecting,37000.0,113,7,0.319,0,0,0.887,0.1,2,0,0,10,1,2026-07-19 10:10:54.743919+00:00
ACC-00004,Manufacturing,APAC,Proposal,114400.0,63,3,0.277,0,0,0.954,4.6,1,1,7,7,1,2026-07-19 10:10:54.743919+00:00
ACC-00005,Financial Services,India,Qualification,51000.0,57,3,0.681,1,0,0.39,6.6,1,0,3,18,1,2026-07-19 10:10:54.743919+00:00
ACC-00006,Financial Services,North America,Negotiation,47100.0,45,2,0.167,0,0,0.786,4.8,1,1,5,5,1,2026-07-19 10:10:54.743919+00:00
ACC-00007,Financial Services,India,Prospecting,166000.0,43,4,0.347,0,1,0.324,1.4,2,1,5,2,0,2026-07-19 10:10:54.743919+00:00
ACC-00008,Technology,India,Proposal,14400.0,23,3,0.434,1,1,0.912,3.3,1,1,9,29,1,2026-07-19 10:10:54.743919+00:00
ACC-00009,Manufacturing,North America,Negotiation,17500.0,13,2,0.172,1,1,0.9,0.2,0,0,4,1,1,2026-07-19 10:10:54.743919+00:00
ACC-00010,Technology,APAC,Negotiation,101000.0,42,6,0.259,0,0,0.842,3.8,0,0,0,21,0,2026-07-19 10:10:54.743919+00:00
ACC-00011,Financial Services,North America,Closed Won,96100.0,48,4,0.382,0,0,0.877,0.9,3,0,8,14,0,2026-07-19 10:10:54.743919+00:00
ACC-00012,Logistics,EMEA,Proposal,149100.0,48,2,0.106,0,1,0.723,8.2,2,1,6,12,1,2026-07-19 10:10:54.743919+00:00
ACC-00013,Technology,APAC,Closed Won,936800.0,52,2,0.384,1,0,0.403,1.2,0,0,4,10,1,2026-07-19 10:10:54.743919+00:00
ACC-00014,Healthcare,EMEA,Qualification,111900.0,60,7,0.098,0,0,0.94,1.2,1,0,2,25,0,2026-07-19 10:10:54.743919+00:00
ACC-00015,Financial Services,North America,Qualification,202400.0,41,3,0.676,1,0,0.399,1.0,2,0,4,28,0,2026-07-19 10:10:54.743919+00:00
ACC-00016,Financial Services,North America,Prospecting,30600.0,21,7,0.156,1,1,0.458,3.0,2,0,7,4,0,2026-07-19 10:10:54.743919+00:00
ACC-00017,Healthcare,North America,Prospecting,248100.0,51,3,0.162,1,0,0.603,0.3,2,0,10,24,0,2026-07-19 10:10:54.743919+00:00
ACC-00018,Retail,APAC,Prospecting,52500.0,58,3,0.211,0,1,0.649,0.2,1,1,8,40,0,2026-07-19 10:10:54.743919+00:00
ACC-00019,Retail,EMEA,Prospecting,107500.0,33,0,0.517,0,0,0.367,3.6,0,1,7,25,0,2026-07-19 10:10:54.743919+00:00
ACC-00020,Healthcare,India,Prospecting,86600.0,58,6,0.444,0,0,0.833,8.7,2,0,2,13,0,2026-07-19 10:10:54.743919+00:00
ACC-00021,Manufacturing,EMEA,Prospecting,341000.0,42,2,0.253,1,1,0.396,4.1,2,1,3,30,1,2026-07-19 10:10:54.743919+00:00
