account_id,deal_size_log,days_in_stage,num_meetings,email_open_rate,champion_identified,competitor_present,product_fit_score,account_tenure_yrs,prev_purchases,exec_sponsor,nps_score,days_since_contact,meetings_per_day,engagement_score,stage_weight,industry_score,contact_lapsed,high_value_deal,champion_and_sponsor,converted
ACC-02418,11.281006017883909,45,7,0.208,0,1,0.456,3.5,1,0,0,0,0.15217391304347827,0.34240000000000004,3,0.75,0,0,0,0
ACC-04172,11.160541302448653,41,4,0.082,0,0,0.514,4.3,0,0,0,0,0.09523809523809523,0.18460000000000001,1,0.5,0,0,0,0
ACC-01334,12.882584726875908,35,0,0.302,0,0,0.471,2.2,1,0,0,1,0.0,0.0906,3,0.5,0,0,0,1
ACC-01691,12.04414765726144,90,2,0.108,0,1,0.859,5.3,3,0,0,1,0.02197802197802198,0.1124,1,0.75,0,0,0,0
ACC-02359,11.87340018062404,54,4,0.3,1,0,0.322,5.2,2,1,0,1,0.07272727272727272,0.25,1,0.6,0,0,1,1
ACC-04994,12.287196307223885,54,2,0.158,1,1,0.4,4.1,0,1,0,1,0.03636363636363636,0.1274,2,0.6,0,0,1,0
ACC-00158,11.138973558699526,59,7,0.354,1,1,0.439,1.9,1,1,0,2,0.11666666666666667,0.3862,1,0.8,0,0,1,1
ACC-01852,11.602775309696066,37,5,0.52,1,0,0.919,0.1,2,0,0,2,0.13157894736842105,0.356,5,0.8,0,0,0,1
ACC-01865,13.8621087978123,28,4,0.511,0,0,0.398,0.8,4,0,0,2,0.13793103448275862,0.3133,4,0.5,0,1,0,0
ACC-01893,11.506917452956234,28,2,0.499,0,1,0.593,0.4,1,1,0,2,0.06896551724137931,0.22970000000000002,1,0.8,0,0,0,0
ACC-01923,14.164406020051167,77,5,0.209,0,0,0.592,10.0,0,1,0,2,0.0641025641025641,0.2627,1,0.6,0,1,0,1
ACC-02038,11.633380483255026,11,3,0.257,1,1,0.788,0.9,0,0,0,2,0.25,0.1971,4,0.75,0,0,0,1
ACC-03218,10.482933978579906,69,2,0.22,1,0,0.437,1.9,0,0,0,2,0.02857142857142857,0.14600000000000002,3,0.75,0,0,0,0
ACC-03285,13.681980308196241,34,5,0.226,1,0,0.975,5.4,0,0,0,2,0.14285714285714285,0.26780000000000004,3,0.55,0,1,0,0
ACC-03668,9.23024103368252,59,3,0.226,1,1,0.753,0.6,1,1,0,2,0.05,0.1878,1,0.75,0,0,1,1
ACC-00730,9.70509758756311,63,3,0.191,0,1,0.802,0.4,1,0,0,3,0.046875,0.17729999999999999,3,0.75,0,0,0,0
ACC-00836,11.433893080082035,40,6,0.256,1,1,0.771,0.4,3,0,0,3,0.14634146341463414,0.31679999999999997,0,0.55,0,0,0,0
ACC-01003,12.051177522006789,70,0,0.093,0,1,0.881,0.5,0,1,0,3,0.0,0.027899999999999998,3,0.8,0,0,0,0
ACC-01400,14.508658238524095,68,3,0.592,1,0,0.907,1.2,5,1,0,3,0.043478260869565216,0.2976,2,0.8,0,1,1,1
ACC-01480,10.859018228147887,104,4,0.151,0,0,0.683,4.9,2,1,0,3,0.0380952380952381,0.2053,4,0.55,0,0,0,1
ACC-02018,11.521895117095363,40,2,0.207,0,1,0.843,0.4,3,0,0,3,0.04878048780487805,0.1421,4,0.8,0,0,0,1
ACC-02373,11.620891583095712,53,3,0.203,1,1,0.779,2.4,0,0,0,3,0.05555555555555555,0.1809,2,0.6,0,0,0,0
ACC-02899,11.089820688682373,94,2,0.234,1,0,0.972,0.9,1,1,0,3,0.021052631578947368,0.1502,5,0.55,0,0,1,1
ACC-03069,10.599156550639583,58,2,0.217,0,0,0.448,8.7,1,0,0,3,0.03389830508474576,0.1451,5,0.65,0,0,0,1
ACC-03221,10.898607948952096,15,2,0.059,0,0,0.803,0.7,3,0,0,3,0.125,0.0977,2,0.55,0,0,0,1
ACC-03409,12.52815976788113,39,4,0.102,0,0,0.369,1.6,1,0,0,3,0.1,0.1906,1,0.65,0,0,0,0
ACC-00149,10.703266939811954,57,4,0.211,0,1,0.414,1.3,0,1,0,4,0.06896551724137931,0.2233,4,0.75,0,0,0,0
ACC-00161,11.592669666556795,39,5,0.184,1,0,0.444,7.7,1,0,0,4,0.125,0.2552,3,0.55,0,0,0,1
ACC-00197,12.155836686703159,22,3,0.224,1,0,0.575,0.2,1,0,0,4,0.13043478260869565,0.18719999999999998,3,0.8,0,0,0,0
ACC-01804,9.350189267092581,41,2,0.365,0,0,0.696,1.3,1,0,0,4,0.047619047619047616,0.1895,0,0.65,0,0,0,0
ACC-01874,12.021554678392043,67,5,0.187,0,1,0.624,1.1,0,0,0,4,0.07352941176470588,0.2561,3,0.8,0,0,0,0
ACC-02201,11.088292827848269,69,7,0.217,1,0,0.895,0.4,3,0,0,4,0.1,0.3451,2,0.5,0,0,0,1
ACC-03526,10.434145214930487,48,3,0.466,0,0,0.821,8.5,2,0,0,4,0.061224489795918366,0.25980000000000003,4,0.75,0,0,0,0
ACC-03649,10.445840912706414,26,2,0.326,0,0,0.506,7.9,1,0,0,4,0.07407407407407407,0.1778,2,0.6,0,0,0,0
ACC-04072,10.524090921620362,23,4,0.371,0,0,0.439,1.6,4,0,0,4,0.16666666666666666,0.2713,1,0.6,0,0,0,0
ACC-04225,13.042022792036304,97,3,0.061,1,0,0.765,4.4,2,0,0,4,0.030612244897959183,0.1383,2,0.6,0,0,0,1
ACC-04505,12.619509230160354,53,4,0.431,1,1,0.893,0.1,2,0,0,4,0.07407407407407407,0.2893,1,0.55,0,0,0,0
ACC-04957,13.178934618892328,19,7,0.186,0,0,0.618,0.4,2,0,0,4,0.35,0.33580000000000004,5,0.55,0,1,0,1
ACC-00205,12.017336559562407,77,2,0.146,1,0,0.59,4.6,3,0,0,5,0.02564102564102564,0.1238,1,0.6,0,0,0,1
ACC-01127,14.041291428492856,32,3,0.334,1,0,0.757,2.0,2,0,0,5,0.09090909090909091,0.2202,4,0.75,0,1,0,1
ACC-02177,14.182512692428716,24,5,0.361,0,1,0.65,0.8,4,0,0,5,0.2,0.3083,1,0.65,0,1,0,0
ACC-02902,11.941462360646149,36,7,0.443,0,1,0.883,1.7,5,0,0,5,0.1891891891891892,0.41290000000000004,1,0.8,0,0,0,1
ACC-02935,10.666650414667744,9,1,0.093,0,0,0.519,2.2,2,0,0,5,0.1,0.0679,3,0.8,0,0,0,1
ACC-02977,9.210440366976517,141,0,0.413,0,0,0.709,0.8,0,0,0,5,0.0,0.12389999999999998,1,0.8,0,0,0,1
ACC-03068,9.55400099583723,31,5,0.243,1,1,0.519,2.7,0,0,0,5,0.15625,0.27290000000000003,3,0.5,0,0,0,1
ACC-03771,11.985432208809083,58,6,0.086,0,0,0.343,1.1,2,0,0,5,0.1016949152542373,0.2658,3,0.6,0,0,0,0
ACC-03834,10.616461869895815,39,5,0.159,1,1,0.681,0.7,2,0,0,5,0.125,0.2477,0,0.55,0,0,0,0
